created by /home/dantopa//repos/github/builds/scripts-spack/reaper/header-reaper.sh at Wed Apr 20 09:10:43 MDT 2022

${SPACK_ROOT} = /home/dantopa/spacktivity/mageia-8-dantopa-docker-spack

spack arch linux-mageia8-ivybridge

uname -a:
7bk4gf5uyjhuvigpulvcriy2mfszcd5r pkgconf@1.8.0
7taud7t4e4k4poh7yykgp5mhjvaimvbw py-docutils@0.18.1
zaks7u5cmfypepk2pklq4ed3hc6weerv py-pip@21.3.1
dy4sybgt6rnjwijnxi5yhee3vegpzgux py-setuptools@59.4.0
ojuwgtt27wifnueviaecw6qsgoztbnci py-wheel@0.37.0
46xakhzeqitqyatylukaga5jeq2zgryy python@3.9.12
g5ueb7l4ikm2v6xm5v6qc4l2r472toba python@3.10.2
44hbwrsixmhpjscxjf4eq3rqdndf3mt6 rdma-core@39.1
kuh46zb62qoedrtacnd6h6wsdhep3wan readline@8.1
ft7iz3jzni2urnemcm2ultcbqz2legph sqlite@3.37.2
5oq4qfvg74mybaitaldoyme2g4rqo4jp swig@4.0.2
kgwtfxtghf5krkmcgyjnjd3uackj5xzi tar@1.34
zynq53j2nzrzem2flrdq2fxhm5erarqg tau@2.31
w6orkwpmfjknazenc2hmlbk3yj6tpgrt texinfo@6.5
xc6voa64z2bxmshx6fbvyhmipwhqpe63 util-linux-uuid@2.37.4
skp6rvzmn2xv7cmlyncwwvgwkbhrzwla util-macros@1.19.3
ckm3ewvfxkdski4yhjwr7q52lqv2g3ja valgrind@3.18.1
o757lbaxlxcv6wjgqkv7fdo6ldumwhbl xz@5.2.5
fzznyvi2afqwnjo6ayoqnyc4rxqei42w zlib@1.2.12
4fxmfnoyo5g7qnecxhs6mi5b2n2qxs4q zstd@1.5.2
