Installed Packages
langpacks-en.noarch                           1.0-12.el8                              @System         
less.x86_64                                   530-1.el8                               @ubi-8-baseos   
libacl.x86_64                                 2.2.53-1.el8                            @System         
libarchive.x86_64                             3.3.3-1.el8                             @System         
libassuan.x86_64                              2.5.1-3.el8                             @System         
libatomic_ops.x86_64                          7.6.2-3.el8                             @ubi-8-appstream
libattr.x86_64                                2.4.48-3.el8                            @System         
libbabeltrace.x86_64                          1.5.4-2.el8                             @ubi-8-appstream
libblkid.x86_64                               2.32.1-28.el8                           @System         
libcap.x86_64                                 2.26-5.el8                              @System         
libcap-ng.x86_64                              0.7.11-1.el8                            @System         
libcom_err.x86_64                             1.45.6-2.el8                            @System         
libcom_err-devel.x86_64                       1.45.6-2.el8                            @ubi-8-baseos   
libcomps.x86_64                               0.1.16-2.el8                            @System         
libcurl.x86_64                                7.61.1-22.el8                           @System         
libcurl-devel.x86_64                          7.61.1-22.el8                           @ubi-8-baseos   
libdb.x86_64                                  5.3.28-42.el8_4                         @System         
libdb-utils.x86_64                            5.3.28-42.el8_4                         @System         
libdnf.x86_64                                 0.63.0-3.el8                            @System         
libedit.x86_64                                3.1-23.20170329cvs.el8                  @ubi-8-baseos   
libfdisk.x86_64                               2.32.1-28.el8                           @System         
libffi.x86_64                                 3.1-22.el8                              @System         
libgcc.x86_64                                 8.5.0-4.el8_5                           @ubi-8-baseos   
libgcrypt.x86_64                              1.8.5-6.el8                             @System         
libgfortran.x86_64                            8.5.0-4.el8_5                           @ubi-8-baseos   
libgomp.x86_64                                8.5.0-4.el8_5                           @ubi-8-baseos   
libgpg-error.x86_64                           1.31-1.el8                              @System         
libibverbs.x86_64                             35.0-1.el8                              @ubi-8-baseos   
libidn2.x86_64                                2.2.0-1.el8                             @System         
libipt.x86_64                                 1.6.1-8.el8                             @ubi-8-appstream
libkadm5.x86_64                               1.18.2-14.el8                           @ubi-8-baseos   
libksba.x86_64                                1.3.5-7.el8                             @System         
libmetalink.x86_64                            0.1.3-7.el8                             @ubi-8-baseos   
libmnl.x86_64                                 1.0.4-6.el8                             @ubi-8-baseos   
libmodulemd.x86_64                            2.13.0-1.el8                            @System         
libmount.x86_64                               2.32.1-28.el8                           @System         
libmpc.x86_64                                 1.1.0-9.1.el8                           @ubi-8-appstream
libnetfilter_conntrack.x86_64                 1.0.6-5.el8                             @ubi-8-baseos   
libnfnetlink.x86_64                           1.0.1-13.el8                            @ubi-8-baseos   
